Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,Instr_RT_Day1_Bool.thisRepN,Instr_RT_Day1_Bool.thisTrialN,Instr_RT_Day1_Bool.thisN,Instr_RT_Day1_Bool.thisIndex,Instr_RT_Days_Bool.thisRepN,Instr_RT_Days_Bool.thisTrialN,Instr_RT_Days_Bool.thisN,Instr_RT_Days_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_RT_Day1_Text.started,Instr_RT_Day1_Text.stopped,Instr_RT_Day1_Press.keys,Instr_RT_Day1_Press.rt,Instr_RT_Day1_Press.started,Instr_RT_Day1_Press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,Symbol,Finger,Shape,ctx,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Day,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,participant,day,date,expName,psychopyVersion,frameRate,
0,h,"[1, -1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,-0.038,0.075,media/hand.png,media/check.png,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1557,Context_Learning_new,2020.1.3,60.25025545881992,
1,u,"[1, -1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,0.014,0.1,media/hand.png,media/cross.png,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1557,Context_Learning_new,2020.1.3,60.25025545881992,
2,i,"[1, -1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,0.057,0.08,media/hand.png,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1557,Context_Learning_new,2020.1.3,60.25025545881992,
3,l,"[1, -1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,0.1,0.04,media/hand.png,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1557,Context_Learning_new,2020.1.3,60.25025545881992,
0,h,"[-1, 1, -1]",media/djnb.png,media/djnb_r.png,media/djnb_g.png,None,None,None,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1557,Context_Learning_new,2020.1.3,60.25025545881992,
1,u,"[-1, 1, -1]",media/dnnb.png,media/dnnb_r.png,media/dnnb_g.png,None,None,None,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1557,Context_Learning_new,2020.1.3,60.25025545881992,
2,i,"[-1, 1, -1]",media/dinb.png,media/dinb_r.png,media/dinb_g.png,None,None,None,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1557,Context_Learning_new,2020.1.3,60.25025545881992,
3,l,"[-1, 1, -1]",media/ddnb.png,media/ddnb_r.png,media/ddnb_g.png,None,None,None,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1557,Context_Learning_new,2020.1.3,60.25025545881992,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,"(0, 2, 1, 3)","(1, 0, 3, 2)",9.199191600084305,None,h,27.8660957000684,9.199191600084305,None,37.113105500116944,None,h,0.4244657000526786,37.113105500116944,None,2,u,media/dinb.png,1,RT,0,0,0,1,0,1,0.8862388787998092,1,37.58414790011011,37.58414790011011,37.58414790011011,None,37.58414790011011,None,h,0,0.6656597999390215,37.58414790011011,None,38.28950410010293,None,38.28950410010293,None,39.29380560014397,None,1,1,2020_Dec_04_1557,Context_Learning_new,2020.1.3,60.25025545881992,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,media/ddnb.png,1,RT,0,0,1,1,0,1,0.7219918067995101,1,,,,,,,,,,,,,,,,,,,,,,,,
